Pos,Rider
1,del Toro Isaac
2,Pogacar Tadej
3,Evenepoel Remco
4,Vingegaard Jonas
5,Skjelmose Mattias
6,Johannessen Tobias Halland
7,Grégoire Romain
8,Martinez Lenny
9,Seixas Paul
10,Pidcock Tom
11,Van Eetvelt Lennert
12,Ayuso Juan
13,Van Wilder Ilan
14,Carapaz Richard
15,Baudin Alex
16,Lipowitz Florian
17,Uijtdebroeks Cian
18,Yates Adam
19,Higuita Sergio
20,Foss Tobias
