Pos,Rider
1,Pedersen Mads
2,Simmons Quinn
3,García Raúl
4,Frigo Marco
5,Debruyne Ramses
6,Vauquelin Kévin
7,Quinn Sean
8,Træen Torstein
9,Castrillo Pablo
10,Vacek Mathias
11,Matthews Michael
12,Delettre Alexandre
13,Van Mechelen Vlad
14,Stuyven Jasper
15,Molenaar Alex
16,van den Broek Frank
17,Zimmermann Georg
18,Hermans Quinten
19,Nicolau Joel
20,Izagirre Ion
