Pos,Rider
1,Pogacar Tadej
2,Vingegaard Jonas
3,Carapaz Richard
4,Seixas Paul
5,Johannessen Tobias Halland
6,Van Eetvelt Lennert
7,Lipowitz Florian
8,Evenepoel Remco
9,del Toro Isaac
10,Ayuso Juan
11,Skjelmose Mattias
12,Van Wilder Ilan
13,Martinez Lenny
14,Jegat Jordan
15,Higuita Sergio
16,Pidcock Tom
17,Bernal Egan
18,Benoot Tiesj
19,Arensman Thymen
20,Piganzoli Davide
