Pos,Rider
1,Kooij Olav
2,Kanter Max
3,Merlier Tim
4,Artz Huub
5,Philipsen Jasper
6,Girmay Biniam
7,Pedersen Mads
8,Fretin Milan
9,Turgis Anthony
10,Wærenskjold Søren
11,Berckmoes Jenno
12,Ackermann Pascal
13,Russo Clément
14,Pluimers Rick
15,Godon Dorian
16,Bittner Pavel
17,Gaviria Fernando
18,Bauhaus Phil
19,Teunissen Mike
20,Gate Aaron
