Pos,Rider
1,Merlier Tim
2,Wærenskjold Søren
3,Girmay Biniam
4,Kanter Max
5,Philipsen Jasper
6,Bauhaus Phil
7,Artz Huub
8,Godon Dorian
9,Pedersen Mads
10,Van Asbroeck Tom
11,Bittner Pavel
12,Ackermann Pascal
13,Fretin Milan
14,Gaviria Fernando
15,Turgis Anthony
16,Russo Clément
17,Berckmoes Jenno
18,Pluimers Rick
19,Wright Fred
20,Gate Aaron
