Pos,Rider
1,Merlier Tim
2,Girmay Biniam
3,Kooij Olav
4,Philipsen Jasper
5,Bittner Pavel
6,Pluimers Rick
7,Ackermann Pascal
8,Russo Clément
9,Kanter Max
10,Fretin Milan
11,Wærenskjold Søren
12,Pedersen Mads
13,Gaviria Fernando
14,Godon Dorian
15,Turgis Anthony
16,van der Poel Mathieu
17,Bauhaus Phil
18,Berckmoes Jenno
19,Wright Fred
20,Pacher Quentin
